threshold,folds,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_trades,avg_trade_rate,avg_win_rate,avg_trade_return,median_trade_return,avg_total_return,median_total_return,sum_total_return,avg_sharpe,avg_alpha_vs_buy_hold,avg_max_drawdown,avg_exposure
0.35,4,0.48958333333333337,0.5470896635919696,0.7061071499862764,0.5703900102634281,1.0,0.008333333333333333,0.75,0.014776681257838375,0.00453026679926527,0.014778038605593402,0.004524379367585096,0.05911215442237361,0.4016169420063163,-0.10798296328676571,-0.014474856242656792,0.035416666666666666
0.4,4,0.4583333333333333,0.5253253740520598,0.582162150360556,0.4777930457313786,0.75,0.00625,0.5,0.013131908487208632,0.0012407212580057836,0.013133927971304193,0.001236158099006679,0.052535711885216774,0.2579025525182212,-0.10962707392105492,-0.012014099038562459,0.025
0.3,4,0.4833333333333333,0.5247906383450724,0.7761301681762607,0.6036144831793987,1.25,0.010416666666666666,0.625,0.012968569105211547,0.0009140424940116132,0.012794885109045334,0.0005580723744889604,0.05117954043618134,0.23708478558641888,-0.10996611678331378,-0.016425660152377564,0.04583333333333333
0.45,4,0.44166666666666665,0.5238636363636363,0.44245920353319856,0.3840072794314988,0.5,0.004166666666666667,0.25,0.01251154785820574,0.0,0.012515848921800854,0.0,0.050063395687203416,0.20378948169728983,-0.11024515297055826,-0.008230186812460932,0.014583333333333334
0.5,4,0.42708333333333337,0.5022006503750925,0.34378742795119394,0.2755103297786225,0.25,0.0020833333333333333,0.0,-0.005773230648204064,0.0,-0.005780024910593096,0.0,-0.023120099642372383,-0.2901246856654072,-0.1285410268029522,-0.007069043531150981,0.00625
