fold,train_start,train_end,test_start,test_end,test_rows,positive_rate,threshold,accuracy,precision,recall,f1,trades,trade_rate,win_rate,average_trade_return,median_trade_return,total_return,buy_and_hold_return,alpha_vs_buy_hold,max_drawdown,sharpe,exposure,winning_trades,losing_trades,regime_filter_active,regime_filter_column
1,0,500,500,620,120,0.5083333333333333,0.3,0.475,0.49038461538461536,0.8360655737704918,0.6181818181818182,1,0.008333333333333333,1.0,0.002481442516011567,0.002481442516011567,0.002472316198013358,0.13804054661474852,-0.13556823041673516,-0.015135648904406107,0.21645228328372548,0.041666666666666664,1,0,True,regime_entry_filter
1,0,500,500,620,120,0.5083333333333333,0.35,0.5166666666666667,0.5154639175257731,0.819672131147541,0.6329113924050633,1,0.008333333333333333,1.0,0.002481442516011567,0.002481442516011567,0.002472316198013358,0.13804054661474852,-0.13556823041673516,-0.015135648904406107,0.21645228328372548,0.041666666666666664,1,0,True,regime_entry_filter
1,0,500,500,620,120,0.5083333333333333,0.4,0.5583333333333333,0.5487804878048781,0.7377049180327869,0.6293706293706294,1,0.008333333333333333,1.0,0.002481442516011567,0.002481442516011567,0.002472316198013358,0.13804054661474852,-0.13556823041673516,-0.015135648904406107,0.21645228328372548,0.041666666666666664,1,0,True,regime_entry_filter
1,0,500,500,620,120,0.5083333333333333,0.45,0.525,0.5416666666666666,0.4262295081967213,0.47706422018348627,0,0.0,0.0,0.0,0.0,0.0,0.13804054661474852,-0.13804054661474852,0.0,0.0,0.0,0,0,True,regime_entry_filter
1,0,500,500,620,120,0.5083333333333333,0.5,0.5333333333333333,0.5862068965517241,0.2786885245901639,0.37777777777777777,0,0.0,0.0,0.0,0.0,0.0,0.13804054661474852,-0.13804054661474852,0.0,0.0,0.0,0,0,True,regime_entry_filter
2,0,620,620,740,120,0.6,0.3,0.5083333333333333,0.589041095890411,0.5972222222222222,0.593103448275862,2,0.016666666666666666,0.5,-0.0006533575279883408,-0.0006533575279883408,-0.001356171449035437,0.14699122986676483,-0.14834740131580026,-0.017646244455260418,-0.08327106772720938,0.08333333333333333,1,1,True,regime_entry_filter
2,0,620,620,740,120,0.6,0.35,0.5,0.6578947368421053,0.3472222222222222,0.45454545454545453,1,0.008333333333333333,1.0,0.006579091082518973,0.006579091082518973,0.006576442537156835,0.14699122986676483,-0.140414787329608,-0.00984302881637733,0.5748575579523805,0.041666666666666664,1,0,True,regime_entry_filter
2,0,620,620,740,120,0.6,0.4,0.425,0.5882352941176471,0.1388888888888889,0.2247191011235955,0,0.0,0.0,0.0,0.0,0.0,0.14699122986676483,-0.14699122986676483,0.0,0.0,0.0,0,0,True,regime_entry_filter
2,0,620,620,740,120,0.6,0.45,0.4083333333333333,0.5454545454545454,0.08333333333333333,0.14457831325301204,0,0.0,0.0,0.0,0.0,0.0,0.14699122986676483,-0.14699122986676483,0.0,0.0,0.0,0,0,True,regime_entry_filter
2,0,620,620,740,120,0.6,0.5,0.4083333333333333,0.6,0.041666666666666664,0.07792207792207792,0,0.0,0.0,0.0,0.0,0.0,0.14699122986676483,-0.14699122986676483,0.0,0.0,0.0,0,0,True,regime_entry_filter
3,0,740,740,860,120,0.375,0.3,0.375,0.375,1.0,0.5454545454545454,1,0.008333333333333333,0.0,-0.023092922592816256,-0.023092922592816256,-0.023120099642372383,-0.2116421683112839,0.18852206866891152,-0.028276174124603926,-1.160498742661629,0.025,0,1,True,regime_entry_filter
3,0,740,740,860,120,0.375,0.35,0.375,0.375,1.0,0.5454545454545454,1,0.008333333333333333,0.0,-0.023092922592816256,-0.023092922592816256,-0.023120099642372383,-0.2116421683112839,0.18852206866891152,-0.028276174124603926,-1.160498742661629,0.025,0,1,True,regime_entry_filter
