signal_time,entry_time,exit_time,entry_probability,exit_probability,entry_price,exit_price,bars_held,units,entry_fee,exit_fee,pnl_value,net_return_pct,exit_reason
2025-03-26,2025-03-27,2025-04-03,0.5662936959855487,0.513394812382191,223.1014949493408,202.10594979858402,5,8.946636527402765,3.9920159680638716,3.6163369457468826,-195.4478640723055,-0.09772393203615276,time_exit
2025-04-04,2025-04-07,2025-04-11,0.5597296092067413,0.40532839259221143,180.8532342071533,197.09284048461916,4,10.820909246639836,3.91399286863381,4.2654474800930515,167.54786538089388,0.08544391577404811,model_exit
2025-04-28,2025-04-29,2025-05-02,0.5562597085086974,0.43914212706470407,210.50376576232904,204.25443392944334,3,9.45559864361288,3.980878244035364,3.8626958968303224,-66.93474774338642,-0.033561009082642035,model_exit
2025-05-05,2025-05-06,2025-05-13,0.551268691634238,0.5179706899029248,197.8462081298828,212.0717125854492,5,9.993008769868695,3.9541577858543717,4.238468967414934,133.96296402701182,0.06762278094188992,time_exit
2025-05-21,2025-05-22,2025-05-29,0.6085221911238913,0.43930349898824433,200.9498641052246,199.14402516174317,4,9.971731090368712,4.007636015006872,3.971621334333047,-25.98659768625248,-0.012942656535013908,model_exit
2025-06-05,2025-06-06,2025-06-13,0.5568911960626296,0.5381019064265508,203.50463189697263,195.65814990234375,5,9.821059320503894,3.997262123714954,3.8431405934619223,-84.90116784369275,-0.04239487019484007,time_exit
2025-06-20,2025-06-23,2025-06-30,0.5642165368092688,0.4746773099119009,201.089560546875,204.34298359680176,5,9.854736941993426,3.9633694419410257,4.0274926985771184,24.070766177527958,0.01212237268716031,time_exit
2025-07-16,2025-07-17,2025-07-17,0.5635865993466719,0.40646755628306563,209.5922105865478,209.17344493103025,0,9.477877348392365,3.9729785302354474,3.965040511194019,-11.907028562143978,-0.005982041910185512,model_exit
2025-07-21,2025-07-22,2025-07-29,0.5949996656484533,0.4691130986945355,213.96327650451656,210.4184145355225,5,9.273145584252761,3.968225225420221,3.9024811831910946,-40.74272752317438,-0.020493496414100837,time_exit
2025-08-01,2025-08-04,2025-08-06,0.6153586761570152,0.44361245391280374,202.93581108093258,212.39042431640624,2,9.736972105821788,3.9519606635347215,4.136079274225002,83.971265407381,0.04241118028550555,model_exit
2025-08-07,2025-08-08,2025-08-13,0.5511760429614263,0.32496967963422096,228.88282897949216,232.65323753356932,3,8.706380781251832,3.985482126771201,4.051135351916571,24.789995093997277,0.012415318036269218,model_exit
2025-08-27,2025-08-28,2025-09-05,0.5567450562091619,0.4821149308101355,232.3497018127441,238.99477478027345,5,8.597769442410375,3.9953783323975474,4.10964394300317,49.02778302741058,0.02449326151883424,time_exit
