time,close,probability,cash,equity,in_position
2025-03-26,220.5686798095703,0.5662936959855487,10000.0,10000.0,0
2025-03-27,222.8786163330078,0.5330990198640834,8000.0,9994.013970061875,1
2025-03-28,216.9544219970703,0.5822535195866992,8000.0,9941.012356620544,1
2025-03-31,221.1660614013672,0.4817753026383982,8000.0,9978.692363555274,1
2025-04-01,222.22146606445312,0.5204377680512522,8000.0,9988.13468546523,1
2025-04-02,222.91842651367188,0.5079845771490714,8000.0,9994.370137278365,1
2025-04-03,202.30825805664065,0.513394812382191,9804.552135927694,9804.552135927694,0
2025-04-04,187.56253051757807,0.5597296092067413,9804.552135927694,9804.552135927694,0
2025-04-07,180.6725616455078,0.5818304806375719,7843.641708742155,9798.683101666136,1
2025-04-08,171.6717987060547,0.608732502756681,7843.641708742155,9701.286662747794,1
2025-04-09,197.98709106445312,0.49726157889746675,7843.641708742155,9986.04205315682,1
2025-04-10,189.5936584472656,0.5166389314700918,7843.641708742155,9895.217480538446,1
2025-04-11,197.2901306152344,0.40532839259221143,9972.100001308587,9972.100001308587,0
2025-04-14,201.6411590576172,0.3668840070097749,9972.100001308587,9972.100001308587,0
2025-04-15,201.2628173828125,0.4016753201128688,9972.100001308587,9972.100001308587,0
2025-04-16,193.4269561767578,0.40405160520487715,9972.100001308587,9972.100001308587,0
2025-04-17,196.1251983642578,0.3766011172249516,9972.100001308587,9972.100001308587,0
2025-04-21,192.32177734375,0.5277256397518056,9972.100001308587,9972.100001308587,0
2025-04-22,198.87322998046875,0.4836944254800816,9972.100001308587,9972.100001308587,0
2025-04-23,203.71214294433597,0.36237597180165887,9972.100001308587,9972.100001308587,0
2025-04-24,207.46575927734372,0.4522071440623162,9972.100001308587,9972.100001308587,0
2025-04-25,208.371826171875,0.4816739575948456,9972.100001308587,9972.100001308587,0
2025-04-28,209.2281036376953,0.5562597085086974,9972.100001308587,9972.100001308587,0
2025-04-29,210.29347229003903,0.5170240267914555,7977.68000104687,9966.130672393205,1
2025-04-30,211.57785034179688,0.5052585654182521,7977.68000104687,9978.275235757294,1
2025-05-01,212.39431762695312,0.4731781586254989,7977.68000104687,9985.99542271137,1
2025-05-02,204.4588928222656,0.43914212706470407,9905.165253565201,9905.165253565201,0
2025-05-05,198.02691650390625,0.551268691634238,9905.165253565201,9905.165253565201,0
2025-05-06,197.6485595703125,0.5451866521976846,7924.132202852161,9899.235991990208,1
2025-05-07,195.39837646484372,0.5684722134775366,7924.132202852161,9876.749892483449,1
2025-05-08,196.63299560546875,0.45523981951612286,7924.132202852161,9889.087452383163,1
2025-05-09,197.66848754882807,0.5261406877788851,7924.132202852161,9899.43513245428,1
2025-05-12,210.1504821777344,0.4911287820578471,7924.132202852161,10024.167814246395,1
2025-05-13,212.28399658203125,0.5179706899029248,10039.128217592213,10039.128217592213,0
2025-05-14,211.68582153320312,0.5257881727235534,10039.128217592213,10039.128217592213,0
2025-05-15,210.8085021972656,0.5298111758413923,10039.128217592213,10039.128217592213,0
2025-05-16,210.61907958984372,0.486922640417091,10039.128217592213,10039.128217592213,0
2025-05-19,208.14659118652344,0.5024772580360021,10039.128217592213,10039.128217592213,0
2025-05-20,206.232421875,0.487256570593138,10039.128217592213,10039.128217592213,0
2025-05-21,201.47689819335935,0.6085221911238913,10039.128217592213,10039.128217592213,0
2025-05-22,200.7491149902344,0.6461939864228889,8031.30257407377,10033.118765385894,1
2025-05-23,194.6775665283203,0.5709846239975511,8031.30257407377,9972.574916821544,1
2025-05-27,199.60260009765625,0.5266771524714322,8031.30257407377,10021.686027186002,1
2025-05-28,199.8119659423828,0.46682578484373255,8031.30257407377,10023.773767089124,1
2025-05-29,199.34336853027344,0.43930349898824433,10013.14161990596,10013.14161990596,0
2025-05-30,200.24066162109372,0.40396309374902184,10013.14161990596,10013.14161990596,0
2025-06-02,201.08807373046875,0.5393159521244771,10013.14161990596,10013.14161990596,0
2025-06-03,202.6533203125,0.4779387222520201,10013.14161990596,10013.14161990596,0
2025-06-04,202.2046813964844,0.4665415475206023,10013.14161990596,10013.14161990596,0
2025-06-05,200.0213165283203,0.5568911960626296,10013.14161990596,10013.14161990596,0
2025-06-06,203.30133056640625,0.55608615785694,8010.5132959247685,10007.147723354816,1
2025-06-09,200.8388214111328,0.555656743897921,8010.5132959247685,9982.963274863592,1
2025-06-10,202.0551300048828,0.5457595620964502,8010.5132959247685,9994.908713714849,1
2025-06-11,198.1769256591797,0.49737384351852615,8010.5132959247685,9956.820638778663,1
2025-06-12,198.5956573486328,0.5153447788261608,8010.5132959247685,9960.933027540157,1
2025-06-13,195.85400390625,0.5381019064265508,9928.240452062268,9928.240452062268,0
2025-06-16,197.81802368164065,0.4618218745796643,9928.240452062268,9928.240452062268,0
2025-06-17,195.0464630126953,0.5483246283617673,9928.240452062268,9928.240452062268,0
2025-06-18,195.9835968017578,0.43787420824581386,9928.240452062268,9928.240452062268,0
2025-06-20,200.3902130126953,0.5642165368092688,9928.240452062268,9928.240452062268,0
2025-06-23,200.888671875,0.6067532577888389,7942.592361649814,9922.297377604373,1
2025-06-24,199.6923065185547,0.5725828580121818,7942.592361649814,9910.50751173009,1
2025-06-25,200.948486328125,0.5482307835458422,7942.592361649814,9922.886833305249,1
2025-06-26,200.3902130126953,0.5620224373882124,7942.592361649814,9917.385196639954,1
2025-06-27,200.469970703125,0.5563339954037603,7942.592361649814,9918.171187698239,1
2025-06-30,204.5475311279297,0.4746773099119009,9952.311218239796,9952.311218239796,0
2025-07-01,207.18951416015625,0.47202869288079397,9952.311218239796,9952.311218239796,0
2025-07-02,211.7954864501953,0.5279090108413398,9952.311218239796,9952.311218239796,0
2025-07-03,212.9021148681641,0.5421571645365075,9952.311218239796,9952.311218239796,0
2025-07-07,209.31304931640625,0.4153219623087276,9952.311218239796,9952.311218239796,0
2025-07-08,209.3728485107422,0.48782072159523704,9952.311218239796,9952.311218239796,0
2025-07-09,210.4994354248047,0.5070369607225491,9952.311218239796,9952.311218239796,0
2025-07-10,211.7655792236328,0.4963595078144501,9952.311218239796,9952.311218239796,0
2025-07-11,210.51937866210935,0.45980922571745764,9952.311218239796,9952.311218239796,0
2025-07-14,207.987060546875,0.4470117327209968,9952.311218239796,9952.311218239796,0
2025-07-15,208.4755859375,0.5092259278423279,9952.311218239796,9952.311218239796,0
2025-07-16,209.52239990234372,0.5635865993466719,9952.311218239796,9952.311218239796,0
2025-07-17,209.38282775878903,0.40646755628306563,9940.404189677653,9940.404189677653,0
2025-07-18,210.539306640625,0.4539857023500886,9940.404189677653,9940.404189677653,0
2025-07-21,211.8353576660156,0.5949996656484533,9940.404189677653,9940.404189677653,0
2025-07-22,213.74952697753903,0.6355687668095233,7952.323351742122,9934.453833970005,1
2025-07-23,213.5002899169922,0.5724656049199058,7952.323351742122,9932.142622422563,1
2025-07-24,213.11148071289065,0.585366987502526,7952.323351742122,9928.537138068432,1
2025-07-25,213.23110961914065,0.54020013708898,7952.323351742122,9929.646474332172,1
2025-07-28,213.40061950683597,0.5359606085693379,7952.323351742122,9931.218364198741,1
2025-07-29,210.6290435791016,0.4691130986945355,9899.661462154478,9899.661462154478,0
2025-07-30,208.4157867431641,0.34304532999259,9899.661462154478,9899.661462154478,0
2025-07-31,206.9402618408203,0.304424713102012,9899.661462154478,9899.661462154478,0
2025-08-01,201.76600646972656,0.6153586761570152,9899.661462154478,9899.661462154478,0
2025-08-04,202.7330780029297,0.5645905960739017,7919.729169723582,9893.735495165502,1
2025-08-05,202.3043670654297,0.5185501738722944,7919.729169723582,9889.561148725603,1
2025-08-06,212.60302734375,0.44361245391280374,9983.632727561859,9983.632727561859,0
2025-08-07,219.36245727539065,0.5511760429614263,9983.632727561859,9983.632727561859,0
2025-08-08,228.6541748046875,0.455579752556865,7986.906182049487,9977.656495122015,1
2025-08-11,226.747802734375,0.4978545068657071,7986.906182049487,9961.05889396713,1
2025-08-12,229.21310424804688,0.49465749819428484,7986.906182049487,9982.522747685754,1
2025-08-13,232.88612365722656,0.32496967963422096,10008.422722655856,10008.422722655856,0
2025-08-14,232.337158203125,0.3337093267305283,10008.422722655856,10008.422722655856,0
2025-08-15,231.1494140625,0.37427558963225116,10008.422722655856,10008.422722655856,0
2025-08-18,230.4507598876953,0.40423860402332656,10008.422722655856,10008.422722655856,0
2025-08-19,230.1213836669922,0.38655246433021506,10008.422722655856,10008.422722655856,0
2025-08-20,225.5800323486328,0.4969831036343381,10008.422722655856,10008.422722655856,0
2025-08-21,224.4721527099609,0.5025907147424825,10008.422722655856,10008.422722655856,0
2025-08-22,227.3267059326172,0.4448255442590182,10008.422722655856,10008.422722655856,0
2025-08-25,226.72784423828125,0.3896290511327559,10008.422722655856,10008.422722655856,0
